,IQ,CGPA,Academic_Performance,Communication_Skills,Projects_Completed,Placement
866,104,6.91,9,3,1,0
4447,101,6.89,8,1,3,0
5071,96,6.15,1,5,4,0
4881,120,7.94,1,8,3,1
9510,64,9.13,7,5,0,0
3002,93,8.12,5,7,2,0
2225,119,9.04,6,5,2,1
9056,97,6.79,9,9,3,0
4826,101,5.96,6,1,1,0
7621,92,9.5,8,1,2,0
9689,104,5.31,8,5,3,0
5500,110,6.35,9,6,0,0
9700,96,9.04,6,7,1,0
8478,133,7.4,9,4,3,0
5502,102,8.29,1,9,2,1
1210,81,8.54,3,2,5,0
9083,104,7.6,7,10,1,0
2288,91,9.62,4,2,5,0
2183,120,9.05,7,3,3,1
2862,83,5.15,8,8,0,0
6861,127,8.07,8,9,1,1
2362,77,8.27,9,7,3,0
8463,83,5.53,10,7,5,0
6332,93,6.63,1,2,2,0
4064,85,6.32,2,6,0,0
9546,110,9.48,10,10,3,1
617,110,9.86,10,3,4,0
3281,100,8.82,10,5,3,0
5226,93,5.53,5,8,4,0
3397,122,8.73,8,1,4,1
3065,104,6.93,4,10,0,0
766,99,6.88,9,3,0,0
7078,108,9.38,7,10,4,1
5279,101,7.64,7,4,1,0
4149,103,4.89,6,8,1,0
1144,97,6.57,2,9,2,0
4248,107,7.3,4,2,5,0
4110,117,6.93,2,5,5,0
462,89,8.68,1,9,0,0
2932,86,6.34,4,2,5,0
4623,111,9.37,4,6,0,0
3813,101,9.14,2,6,2,0
6308,98,7.79,6,5,0,0
4341,102,8.76,4,7,3,0
5300,96,7.3,9,9,4,0
6804,87,5.19,1,7,0,0
3282,67,9.99,1,9,4,1
2574,139,7.04,10,8,5,1
7961,124,9.66,5,10,4,1
7879,105,5.58,3,7,4,0
828,93,9.85,10,8,2,1
6486,96,9.31,9,1,0,0
7599,103,6.61,4,5,1,0
2540,89,5.84,4,8,0,0
5746,94,9.1,9,8,3,1
8526,95,9.17,8,1,2,0
9566,85,5.45,2,10,0,0
3742,104,6.69,5,6,1,0
7498,58,7.63,7,10,2,0
3524,91,10.06,7,10,0,0
20,121,8.07,5,3,3,1
1915,91,7.49,9,10,2,0
6571,80,9.34,3,9,4,1
9018,97,5.9,5,6,1,0
2012,88,7.46,9,4,1,0
5405,100,9.34,10,4,3,0
1295,98,4.88,3,5,1,0
3745,97,8.42,4,5,3,0
591,92,6.09,7,8,4,0
1406,78,5.86,3,8,2,0
221,71,9.13,2,2,5,0
5617,95,8.22,5,8,5,1
6248,74,6.54,9,5,0,0
4418,94,9.24,4,5,0,0
858,91,9.25,5,5,0,0
1783,111,5.71,6,10,1,0
7259,136,6.73,8,10,0,0
6856,102,8.4,8,4,0,0
1954,91,6.69,3,4,0,0
1746,114,8.36,3,8,2,1
3132,74,7.78,3,6,2,0
8036,76,9.26,3,9,1,0
8850,128,5.58,5,10,1,0
994,84,8.29,6,3,2,0
6108,108,6.15,5,9,5,0
730,102,5.22,1,2,0,0
6974,120,7.56,1,5,0,0
6273,83,5.27,10,5,1,0
6751,88,8.24,4,9,0,0
3509,91,6.94,9,1,0,0
3533,81,8.86,6,1,5,0
2513,96,5.85,5,10,3,0
5436,99,6.5,6,1,5,0
3625,85,9.42,5,1,5,0
465,96,6.75,9,4,5,0
6755,64,5.66,2,2,0,0
6759,102,7.14,9,10,0,0
7991,99,5.46,8,5,3,0
157,107,6.42,6,10,4,0
3960,89,7.36,8,6,5,0
8832,92,6.28,1,6,3,0
5470,122,5.75,8,1,1,0
185,110,7.75,3,8,0,0
1002,100,5.81,7,1,3,0
9508,93,7.07,3,9,5,0
5623,107,7.03,9,1,2,0
400,76,9.95,9,6,1,0
6240,96,7.79,4,10,4,0
8940,121,6.47,10,4,1,0
9932,109,8.22,2,8,2,1
7342,112,7.01,3,6,4,0
9832,93,6.62,6,8,0,0
8466,109,8.71,6,5,3,0
8756,92,5.8,4,8,1,0
7958,101,9.75,1,8,3,1
1250,104,9.36,10,6,1,0
3143,90,5.65,6,9,0,0
7430,100,10.11,6,1,5,0
59,114,8.73,2,6,2,1
7855,87,8.91,4,5,4,0
1113,107,4.81,9,5,4,0
3057,103,4.89,10,2,0,0
9569,94,9.27,7,6,1,0
1328,81,9.51,4,1,5,0
4995,99,9.58,9,9,5,1
6682,110,5.34,8,9,1,0
2072,101,9.25,6,5,4,0
4793,103,5.74,6,2,3,0
6829,93,9.41,6,7,2,0
9629,130,8.5,7,4,2,1
8218,96,9.97,8,10,3,1
7567,81,4.62,10,9,5,0
5922,109,6.13,8,10,5,0
1550,98,6.61,6,7,2,0
1009,91,9.42,7,1,5,0
3755,70,8.69,4,4,0,0
8681,101,8.03,8,2,3,0
9342,120,9.46,2,1,3,1
8009,115,5.64,6,9,0,0
3860,93,5.19,1,9,5,0
3148,98,8.77,10,6,4,0
2519,87,7.78,5,10,5,0
3127,119,5.9,4,3,0,0
9084,120,8.65,3,8,3,1
5316,77,8.37,5,7,4,0
1195,106,9.1,2,6,4,0
9050,106,6.84,4,8,0,0
879,117,8.23,9,6,1,0
6989,99,9.57,1,6,4,0
2487,99,8.83,7,1,3,0
2840,104,6.94,4,5,0,0
4329,93,8.68,6,3,2,0
2930,113,8.51,3,4,1,0
6424,91,5.62,1,10,5,0
2485,112,6.5,1,10,0,0
5747,103,9.51,2,2,4,0
883,115,7.49,8,4,5,0
4914,80,5.23,8,6,5,0
6210,114,6.43,3,10,3,1
9578,83,8.32,2,8,5,1
211,117,6.52,6,3,4,0
2275,83,7.2,8,8,0,0
2328,110,6.12,2,8,1,0
4950,103,9.29,4,2,3,0
3319,134,6.35,7,4,5,0
9834,132,6.44,5,7,5,0
4607,107,6.6,3,7,5,0
1438,107,8.12,2,5,5,0
467,111,10.03,9,8,1,1
5466,104,6.74,10,1,5,0
3329,112,8.79,4,5,2,1
5828,102,9.67,4,7,2,0
8607,126,5.63,3,7,2,0
696,104,6.9,8,10,5,0
7267,101,6.14,9,5,0,0
9144,93,6.26,4,6,5,0
8180,51,7.43,8,9,2,0
9938,81,9.35,4,6,5,0
1314,100,6.53,9,2,2,0
2301,85,7.81,8,7,4,0
2039,73,7.58,2,4,1,0
7108,64,6.78,7,5,0,0
3666,110,8.25,5,9,1,0
914,98,6.27,6,4,5,0
12,103,9.01,7,6,1,0
8583,109,4.7,7,6,4,0
6427,122,5.98,9,1,4,0
1536,107,9.04,9,6,0,0
736,103,6.35,1,7,0,0
8201,118,7.18,3,5,5,0
8652,108,5.33,7,3,2,0
453,107,5.08,6,8,4,0
4345,100,5.69,8,8,3,0
927,105,7.15,2,7,4,0
6291,122,8.84,10,6,1,0
8281,120,5.98,6,9,3,1
8722,104,8.67,9,10,1,0
6473,64,8.74,8,6,5,0
37,70,9.27,8,3,4,0
5770,128,7.18,10,7,0,0
2554,86,9.77,10,2,5,0
7632,114,9.55,7,10,5,1
9998,107,8.92,3,5,1,0
6620,64,9.52,7,2,5,0
940,80,6.36,5,10,0,0
7398,105,6.11,3,8,4,0
6128,87,8.1,9,9,4,1
9829,90,9.44,5,6,1,0
2680,110,5.87,4,7,5,0
4354,106,7.13,3,5,4,0
3058,81,7.17,3,6,4,0
7880,80,9.12,2,2,4,0
738,124,8.41,9,8,2,1
538,115,7.86,8,4,0,0
3325,107,8.19,2,4,4,0
4239,98,5.2,1,7,5,0
1400,84,9.43,1,2,4,0
4046,110,9.49,1,8,0,0
5137,110,7.1,2,9,0,0
4229,100,7.09,8,2,0,0
4191,103,6.58,6,4,2,0
9142,103,4.86,4,6,2,0
5538,81,7.63,10,9,1,0
2692,99,9.41,8,5,0,0
5340,84,7.71,2,3,0,0
9917,91,8.14,5,1,3,0
7670,111,7.72,10,9,4,1
9173,82,9.31,9,9,2,1
1807,107,7.56,3,7,1,0
5111,138,8.3,6,6,2,1
3989,88,5.27,6,5,4,0
3455,130,6.79,3,10,1,0
2907,83,7.49,4,10,4,0
6651,94,9.99,10,2,1,0
8287,84,9.68,3,8,3,1
6244,90,9.86,5,4,5,0
2697,80,5.28,10,9,5,0
4016,92,6.5,1,2,1,0
4339,95,7.16,5,7,2,0
4645,124,7.16,1,5,5,0
7739,109,7.61,10,2,1,0
7091,125,6.13,5,2,0,0
4692,114,7.71,1,3,2,0
1739,125,8.54,3,1,0,0
5406,77,5.58,1,8,2,0
4588,93,4.8,5,6,1,0
3125,111,9.22,3,4,5,1
2157,95,5.48,8,9,1,0
5333,117,6.77,10,9,5,1
8636,119,5.38,6,7,4,0
1825,106,5.01,8,5,1,0
4230,76,9.53,8,4,5,0
3487,109,6.89,2,1,2,0
9053,94,6.98,10,1,5,0
9768,110,8.73,8,6,0,0
3647,103,8.01,6,7,1,0
5902,97,5.64,5,2,5,0
6385,119,10.1,10,4,5,1
5638,94,7.43,2,6,1,0
6423,102,9.43,2,8,3,1
7826,99,8.88,2,1,4,0
7743,108,8.33,9,8,3,1
3012,80,9.05,6,2,2,0
7671,69,9.91,8,10,2,1
9548,90,4.88,6,5,2,0
9977,86,5.29,3,2,0,0
3080,118,5.95,7,8,2,1
3520,107,8.7,2,7,4,0
4978,105,5.28,2,3,4,0
7619,105,6.63,8,1,2,0
4347,76,9.72,9,1,1,0
8440,88,5.88,8,10,3,0
1346,61,6.71,3,10,2,0
7087,71,6.99,5,7,3,0
8947,102,6.11,1,5,3,0
5651,101,5.91,7,1,0,0
8081,117,6.96,5,5,0,0
1791,101,9.02,6,6,4,0
7428,103,7.33,1,1,3,0
9579,94,9.31,3,6,4,0
9959,106,6.31,2,10,2,0
2270,105,6.5,5,4,2,0
9766,113,5.05,2,7,4,0
2955,126,8.54,10,5,4,1
3443,123,6.58,7,10,3,1
7735,74,8.15,4,4,1,0
833,88,8.71,6,8,2,1
6498,99,4.7,5,1,4,0
2991,109,6.55,6,6,0,0
7792,86,7.7,9,4,3,0
2150,97,5.06,9,9,2,0
4022,72,8.67,7,1,1,0
7614,122,8.01,3,5,3,1
6123,103,9.09,3,3,4,0
3338,107,6.87,5,3,4,0
4343,115,8.79,9,7,5,1
4463,117,6.19,1,8,5,1
2375,121,7.73,1,3,3,0
9043,72,7.37,1,9,4,0
5570,99,6.01,3,10,5,0
8598,83,5.45,3,10,0,0
8503,96,8.35,6,1,5,0
8879,90,9.47,1,7,1,0
1886,87,6.28,3,10,0,0
1197,108,8.15,3,4,5,0
6426,87,7.55,5,10,1,0
8910,86,7.9,3,6,3,0
2935,122,8.77,2,2,2,1
6341,98,5.24,7,10,2,0
1429,95,10.3,3,8,0,0
6306,87,6.32,10,2,0,0
3649,93,8.46,1,2,1,0
1937,107,9.21,5,3,0,0
5171,80,8.21,9,6,2,0
7763,109,7.32,5,9,2,0
6392,76,8.11,2,7,4,0
1153,80,6.49,5,3,0,0
6249,115,8.83,7,6,5,1
7036,76,9.87,4,7,4,0
4228,104,4.92,1,4,5,0
4974,77,6.98,8,6,1,0
6400,104,7.11,8,9,1,0
3639,106,6.24,9,5,5,0
3971,83,9.12,6,9,3,1
9593,117,7.56,9,3,4,0
3375,84,9.5,9,1,3,0
2486,94,7.56,7,10,5,0
6953,89,7.96,2,8,3,0
605,128,8.31,4,2,0,0
7443,111,8.84,2,7,0,0
5927,102,9.3,2,9,3,1
2453,89,5.51,1,7,2,0
3608,79,6.28,6,3,0,0
1483,94,9.1,6,2,0,0
4518,105,6.83,1,7,4,0
3037,102,7.2,9,3,0,0
9351,107,5.86,3,8,5,0
7691,91,5.97,9,3,0,0
4115,94,7.03,3,8,3,0
1426,130,8.74,8,1,3,1
496,84,6.88,7,8,3,0
3352,106,7.58,4,6,4,0
8793,95,8.03,2,6,4,0
758,87,6.28,1,1,1,0
837,85,9.35,6,7,4,0
4326,91,6.77,7,3,1,0
2127,116,9.1,4,4,5,1
1022,99,7.32,1,5,1,0
8761,80,6.8,3,6,4,0
5613,101,6.04,10,4,0,0
5580,128,5.64,8,7,0,0
1057,117,9.84,10,2,5,1
9541,91,7.2,10,5,4,0
6855,125,7.04,1,6,1,0
7348,86,8.24,1,9,1,0
9044,95,8.75,4,6,3,0
2128,110,6.84,9,6,1,0
2766,99,7.49,3,10,1,0
2108,95,6.56,9,4,1,0
3616,85,5.68,4,7,4,0
1544,90,6.62,3,2,1,0
6913,117,7.34,9,8,0,0
1718,110,9.21,5,8,0,0
7434,93,6.16,9,2,5,0
7364,115,9.09,4,7,5,1
6234,96,9.51,1,9,3,1
724,102,6.39,2,7,2,0
6672,105,9.06,6,1,3,0
8028,75,6.84,10,7,4,0
5491,115,8.54,2,4,4,1
1127,88,9.58,8,10,4,1
2956,113,7.01,1,5,2,0
5155,99,7.5,3,2,5,0
4816,119,9.63,4,6,0,0
6201,83,7.67,8,6,1,0
6223,128,7.57,2,6,0,0
8685,104,6.25,2,2,2,0
7113,85,8.58,1,7,3,0
5274,93,8.3,6,10,5,1
8535,110,8.37,4,10,2,1
3043,103,9.31,3,1,4,0
6911,120,6.12,10,6,4,0
149,104,9.45,10,7,5,0
7573,122,8.81,1,4,3,1
4205,90,9.6,4,5,5,0
5492,94,8.35,8,2,2,0
2689,109,9.69,6,7,4,0
4220,64,6.3,5,10,4,0
9101,115,7.7,6,5,4,0
841,110,7.83,7,8,1,0
8136,86,8.12,7,9,3,1
6437,95,6.45,5,1,2,0
9699,77,5.55,3,4,1,0
6199,94,9.4,3,2,2,0
2794,99,6.76,7,1,0,0
7625,112,9.98,6,8,2,1
8474,107,6.09,3,8,1,0
7889,95,8.7,1,10,3,1
6607,102,7.51,3,4,5,0
9194,84,7.53,9,10,3,0
8247,94,7.63,4,2,5,0
1392,130,9.09,1,9,3,1
1921,111,5.78,10,6,1,0
7018,119,7.53,2,7,4,0
3621,105,5.39,4,5,5,0
4848,91,8.46,4,8,4,1
2291,114,7.16,4,9,2,1
2133,108,9.48,8,2,2,0
550,101,8.7,6,6,0,0
1740,98,8.94,8,6,1,0
5289,113,9.46,4,1,1,0
1817,89,7.47,1,2,0,0
4698,101,8.67,4,7,0,0
5181,93,9.42,8,3,2,0
3018,93,9.81,6,8,2,1
17,104,10.01,10,2,4,0
1770,100,7.83,7,6,1,0
1888,92,7.18,9,8,0,0
2152,100,6.53,10,2,5,0
1642,98,6.3,10,6,0,0
7846,86,8.05,9,8,1,0
4193,63,6.65,4,5,0,0
9432,95,5.25,9,8,1,0
8898,84,7.79,1,4,1,0
533,81,7.53,3,3,4,0
132,84,7.3,10,8,3,0
7722,102,6.88,1,2,1,0
8458,87,6.88,6,5,0,0
964,98,5.68,8,5,1,0
8719,87,5.12,9,2,4,0
6412,72,7.4,3,8,3,0
8285,114,7.95,8,3,2,0
7853,108,8.81,3,9,1,0
1095,98,9.63,1,1,0,0
6929,83,6.79,10,8,0,0
9254,103,6.96,10,6,1,0
1561,88,5.02,3,4,1,0
1670,96,6.99,4,5,4,0
6087,76,6.22,2,7,1,0
6669,110,8.06,2,1,2,0
5933,65,7.37,6,2,0,0
8829,81,9.27,9,6,5,0
7945,85,8.48,7,7,0,0
3508,107,8.09,6,1,5,0
2002,88,7.02,3,5,5,0
5866,90,8.12,6,5,0,0
168,96,9.13,5,3,0,0
2588,87,9.08,4,5,5,0
5905,94,8.6,3,9,3,1
9529,97,6.47,10,2,5,0
6384,106,10.03,10,9,4,1
7824,114,5.28,4,5,0,0
9779,105,8.2,2,9,0,0
4629,106,9.29,1,5,0,0
8560,93,5.99,6,3,4,0
9291,105,9.53,1,2,5,0
6874,79,5.92,6,5,3,0
6521,98,8.03,5,4,3,0
8979,96,5.33,9,10,3,0
6647,85,9.39,5,3,2,0
9825,76,8.59,4,3,2,0
210,108,7.95,8,5,0,0
5278,88,7.27,2,6,4,0
1919,92,5.44,3,6,2,0
718,94,7.66,2,9,3,0
4868,102,6.13,1,1,2,0
7834,103,4.84,7,2,1,0
1298,104,9.54,8,3,0,0
9193,105,7.65,3,4,1,0
4617,57,7.96,2,9,0,0
3128,101,7.06,10,4,5,0
9795,118,6.63,2,6,2,0
3979,84,7.11,1,9,0,0
9924,100,7.91,9,3,0,0
8317,112,5.01,1,9,1,0
4393,92,8.58,5,4,5,0
1287,107,8.54,10,10,3,1
4355,110,4.94,8,7,2,0
7013,110,6.05,6,7,0,0
3885,108,9.38,5,6,4,0
5749,85,8.81,4,9,3,1
9169,105,7.41,7,3,0,0
2407,112,7.48,4,3,5,0
2013,85,5.61,9,5,4,0
5153,92,6.29,9,7,4,0
8551,88,9.2,7,1,1,0
4376,64,5.65,6,3,3,0
8822,103,8.08,4,5,3,0
4273,83,4.93,10,6,5,0
5825,74,7.84,2,4,2,0
6699,87,5.25,2,3,5,0
7243,90,5.19,7,5,4,0
449,84,7.86,4,5,2,0
2227,90,5.24,5,2,5,0
5756,108,6.24,2,10,2,0
810,97,7.09,7,3,1,0
4180,104,6.44,3,7,2,0
9000,111,6.1,6,10,4,1
5438,105,5.5,7,7,5,0
7533,93,6.89,8,3,0,0
6369,93,7.53,3,4,0,0
8416,99,6.33,7,2,4,0
1477,106,8.08,7,1,1,0
1790,71,8.21,9,2,3,0
2008,109,5.91,10,6,2,0
682,92,9.37,2,4,2,0
2816,107,8.32,4,2,2,0
9431,87,6.23,4,9,4,0
3774,73,5.61,5,6,3,0
6495,105,5.7,2,9,1,0
8878,108,8.37,4,9,0,0
7361,109,5.22,4,8,0,0
8366,108,6.26,5,1,5,0
7474,98,7.28,4,5,4,0
46,93,5.16,1,2,1,0
30,90,9.58,9,1,4,0
8250,93,7.61,6,5,3,0
6935,107,8.07,2,9,3,1
1468,82,6.65,1,4,3,0
1665,99,6.35,4,4,3,0
1416,100,6.41,9,2,5,0
6480,110,5.88,1,4,3,0
4852,107,7.72,8,5,1,0
2470,116,6.21,8,5,1,0
4373,102,7.33,1,1,2,0
8524,73,7.47,7,2,3,0
429,73,5.47,1,8,2,0
5244,114,8.13,9,7,4,1
2119,97,7.96,5,5,5,0
385,102,8.09,6,8,1,0
1945,94,8.62,3,8,4,1
4224,79,4.97,1,6,5,0
473,120,6.3,8,2,5,0
2129,110,6.41,6,3,5,0
6556,98,6.39,4,2,4,0
6998,99,7.4,3,2,4,0
1055,89,6.49,3,7,1,0
3274,86,8.43,1,2,2,0
4961,84,9.15,2,8,0,0
5363,86,8.4,2,4,3,0
5816,87,7.96,5,8,5,0
811,93,9.61,6,6,0,0
4573,91,8.08,1,2,1,0
6137,91,8.99,4,2,4,0
2388,113,6.14,9,9,2,1
9648,104,8.24,7,6,5,0
6225,95,7.63,7,4,0,0
111,99,7.62,1,7,0,0
8909,110,7.11,5,7,0,0
1745,103,6.15,2,9,0,0
7851,95,6.98,2,3,3,0
1452,103,8.11,10,1,2,0
319,98,4.59,10,4,0,0
8593,102,7.03,2,10,0,0
3333,108,4.7,6,7,3,0
1922,83,8.58,3,1,5,0
5865,91,6.92,6,3,3,0
9528,102,5.9,5,3,1,0
3685,87,9.93,7,5,0,0
4275,98,7.7,10,3,5,0
4889,109,5.8,3,4,2,0
5225,83,7.97,2,3,4,0
7472,81,9.39,7,5,4,0
3605,88,7.76,10,8,3,0
1052,107,7.46,9,5,3,0
4156,107,7.86,7,8,5,0
9676,84,6.49,8,5,0,0
99,96,9.19,1,4,0,0
7508,87,9.06,5,1,2,0
1456,111,8.03,6,9,0,1
7688,96,7.2,8,3,0,0
4004,79,10.46,1,9,5,1
6866,116,5.18,6,9,3,1
4509,98,6.34,5,5,4,0
3299,117,7.68,7,9,2,1
3799,84,6.35,5,4,1,0
4281,77,6.36,10,10,5,0
9051,83,7.21,9,1,1,0
6462,97,6.6,10,2,5,0
7912,96,9.03,2,6,4,0
1414,90,9.4,10,7,5,0
540,112,5.73,4,7,3,0
5815,110,8.54,3,6,1,0
8199,101,9.3,5,7,5,0
3680,83,8.24,10,9,1,0
754,85,9.1,5,3,4,0
4196,116,7.19,9,1,5,0
2650,86,8.39,8,10,1,0
4522,107,5.74,1,9,1,0
9519,93,7.59,3,10,4,0
3118,115,5.92,6,8,5,1
3728,82,7.14,4,5,2,0
3886,67,9.91,5,5,4,0
7107,97,8.06,10,8,4,1
8068,100,7.49,5,1,2,0
7325,110,7.08,4,8,0,0
8483,80,9.17,4,7,5,0
8767,102,6.06,6,8,3,0
6500,118,5.16,1,3,4,0
8426,112,9.9,7,9,4,1
7963,111,8.56,6,10,3,1
601,86,9.68,4,7,1,0
9249,74,9.53,7,6,3,0
8919,112,8.61,9,8,5,1
6814,78,8.28,8,5,0,0
5411,92,8.88,5,2,0,0
8747,95,6.81,6,3,3,0
5522,111,6.44,10,7,5,0
1044,97,8.92,9,5,1,0
7334,103,7.19,6,4,5,0
1557,87,7.36,4,8,4,0
3739,79,6.22,3,5,1,0
3522,85,7.94,4,7,2,0
180,109,5.33,6,3,3,0
2115,92,7.6,7,1,2,0
1699,102,9.06,7,1,3,0
1379,127,5.97,8,6,4,0
7229,109,7.92,6,2,5,0
9143,94,6.39,5,1,0,0
618,107,9.02,6,6,0,0
3181,107,7.02,7,3,1,0
9851,97,8.78,6,8,4,1
1600,97,9.15,5,9,4,1
5963,79,6.45,6,8,0,0
1615,147,7.9,6,9,1,0
5920,118,8.88,7,5,0,0
9591,95,8.95,8,10,2,1
3891,108,8.33,8,3,4,0
2083,65,5.79,4,2,2,0
4574,88,6.14,9,10,1,0
5594,116,5.79,8,6,0,0
5121,93,6.39,1,9,3,0
4587,113,9.32,4,6,4,1
4902,84,9.66,8,10,2,1
8252,71,9.8,3,8,0,0
5916,111,8.88,3,10,2,1
5129,101,8.19,6,3,0,0
8334,115,9.2,6,10,2,1
1918,97,9.71,9,2,4,0
8330,96,7.28,10,6,4,0
5707,104,9.76,10,7,1,0
5384,112,8.87,5,7,2,1
6336,110,8.83,6,10,1,0
2054,79,6.75,6,8,4,0
7612,87,5.68,1,5,3,0
9209,113,8.56,10,8,0,1
3963,111,7.67,10,2,5,0
1126,104,9.07,9,8,5,1
3428,106,7.48,6,4,0,0
4601,114,6.65,1,5,0,0
3721,125,4.7,7,10,3,1
2389,115,8.16,4,5,4,1
1322,98,5.1,4,6,5,0
1603,88,6.66,1,10,4,0
7224,99,8.42,8,3,4,0
7425,108,7.22,4,1,4,0
4336,75,9.48,8,2,3,0
5593,105,6.08,3,4,4,0
4411,99,9.68,2,10,0,0
5858,95,5.84,2,8,0,0
9343,106,8.28,4,10,2,1
3991,92,4.84,10,5,1,0
6079,120,6.71,7,2,5,0
1559,95,5.22,4,7,4,0
4682,122,8.69,3,3,4,1
7557,99,6.94,5,9,3,0
3772,88,7.38,6,10,1,0
8779,97,5.84,10,8,2,0
3457,94,7.21,8,3,5,0
8383,118,5.94,2,9,1,0
1354,91,7.12,3,9,2,0
45,89,8.16,6,5,1,0
9872,95,9.53,2,10,1,0
748,90,5.74,9,8,0,0
7917,93,9.41,7,4,5,0
4241,113,5.57,8,4,4,0
5628,87,5.05,5,7,3,0
4657,85,8.81,3,2,2,0
4238,121,6.66,9,1,5,0
3460,125,9.66,2,4,1,0
7381,105,9.96,2,8,4,1
5549,119,5.28,1,4,5,0
7075,118,7.39,10,9,0,0
5838,81,7.44,7,10,3,0
8091,112,7.51,8,3,1,0
5474,97,8.56,6,4,1,0
3614,110,9.01,1,9,2,1
7501,101,9.04,4,10,2,1
7053,104,6.02,1,8,3,0
7367,92,8.9,5,9,2,1
8019,114,6.72,3,2,5,0
9638,90,9.4,7,5,5,0
9055,89,9.08,5,3,5,0
664,89,7.79,7,1,3,0
2319,83,8.74,10,5,0,0
3542,113,10.13,9,3,1,0
3677,97,7.29,8,6,1,0
9599,95,9.18,8,8,5,1
3091,111,4.77,3,4,0,0
675,88,8.68,1,6,2,0
8676,103,6.2,2,1,0,0
4884,109,7.24,1,8,4,0
8079,120,5.54,5,9,4,1
1962,107,9.31,5,9,5,1
1840,98,10.03,1,4,5,0
7168,116,7.27,9,1,3,0
9898,124,4.97,2,7,3,0
3538,99,9.79,4,4,0,0
8026,82,8.7,9,9,5,1
4866,102,10.03,7,4,2,0
4174,97,9.54,2,8,0,0
8088,106,8.15,6,8,3,1
4377,130,8.12,4,5,3,1
6211,101,5.44,4,10,1,0
4766,82,4.97,4,2,2,0
411,83,9.83,2,2,3,0
613,83,5.15,5,5,1,0
6126,117,5.72,1,4,3,0
5210,101,7.13,4,2,3,0
1430,104,8.2,4,10,5,1
2425,107,6.71,10,5,4,0
8841,110,6.69,3,9,5,0
3833,78,8.8,8,4,2,0
4718,110,8.3,5,2,4,0
7185,110,7.38,7,6,2,0
1417,104,6.88,2,2,3,0
7199,77,7.85,5,2,5,0
604,106,5.92,2,9,5,0
1272,83,6.05,4,6,1,0
3964,90,7.58,8,7,5,0
6367,65,7.11,7,6,5,0
8746,98,5.49,5,5,1,0
247,90,7.6,5,1,4,0
9226,92,8.74,3,6,0,0
1982,90,5.85,3,10,1,0
2835,95,9.46,5,1,1,0
5375,111,5.52,5,3,0,0
199,82,5.97,8,7,1,0
485,78,6.68,1,8,2,0
6083,102,7.57,2,5,0,0
8956,82,8.59,2,4,3,0
455,88,7.46,10,9,0,0
9798,98,9.02,10,5,1,0
8826,83,8.32,3,4,3,0
6515,89,9.62,10,7,0,0
1721,96,6.97,3,7,5,0
7050,114,9.68,4,4,0,0
6382,92,5.42,2,9,4,0
8165,144,8.12,4,7,5,1
5767,98,5.52,5,2,1,0
5809,96,6.46,5,2,4,0
4626,89,7.59,1,10,5,0
862,123,9.08,6,3,5,1
2094,115,4.87,7,8,5,1
947,89,9.15,7,5,5,0
5641,91,6.72,4,3,5,0
1444,105,5.89,7,9,1,0
1280,102,7.86,7,7,5,0
